duration,distance,price
1262,10485,15335
699,7870,10335
910,8104,14335
942,7218,10835
1799,17247,15335
1891,20180,19835
1955,18108,18835
830,7860,10335
1209,13421,13835
1317,12510,16835
1487,13505,12835
1809,20275,15835
2038,21196,17335
954,7942,14335
1060,9070,11335
1815,18385,15335
1622,17178,16835
889,7817,8835
2655,19215,22835
1503,13928,15335
1626,16421,16835
1248,8869,12335
607,3420,8335
1423,8760,15335
1420,10546,16835
1257,12665,13335
1110,10197,10335
1002,11678,9835
1653,16733,16835
1742,22090,18835
665,4087,9335
1757,16831,18335
1321,10760,13835
1279,9807,12335
1302,13763,14835
1953,24576,20835
1798,16491,17835
760,5347,9835
1036,9569,15335
1305,11552,15835
1574,17870,14335
758,7601,11335
975,10045,11335
768,6830,7835
1473,15137,13335
1906,18414,16335
1846,20334,18835
1837,16617,15835
2285,20420,18335
1200,10478,12835
601,2364,6835
837,9389,10335
785,7478,12835
816,6761,10335
1942,20392,19335
1162,15525,11335
1666,11168,15335
687,3695,9335
1408,15722,12835
1336,13734,12335
681,5966,8335
1095,10108,12335
2162,24493,18335
651,4400,8335
1176,10846,12835
1915,19043,16335
978,8796,12835
1158,10065,15335
1139,13065,15335
613,7349,8835
975,11039,9335
1312,11127,13335
2285,20368,21335
850,5432,12335
946,8899,14335
1500,11867,18335
1583,15033,15835
1948,21460,16335
1252,12774,13835
1770,17928,17835
726,4946,11335
792,5130,11835
1182,12957,13335
1214,13451,13835
1153,10933,13835
1381,10856,17335
2433,26974,20335
1605,19751,14835
1270,12595,11835
1516,17423,13835
1487,11585,14335
1665,21117,18335
1102,10020,12835
886,10914,9335
2035,21085,20335
1332,12306,12335
1107,10924,14835
1418,13454,12335
917,10882,12335
2026,27221,21335
680,8051,8835
615,5715,9335
1350,13566,16835
931,5934,11835
1458,10188,16835
886,9074,10335
702,5799,9835
2674,31513,22335
1010,11601,11835
1111,11129,12335
1546,10081,14335
1523,11664,14835
1265,16701,14835
715,5763,8835
800,7296,9335
2578,28417,21335
1310,12000,13835
946,8929,9335
2060,19722,16835
1173,7986,11835
913,8714,10835
1051,3207,11335
1622,16938,13835
1206,15125,16335
1736,18384,14835
714,7199,10335
1059,7983,10335
1939,17281,18335
608,4567,7835
1210,11467,14835
1045,11284,14335
1073,10656,14335
1149,8025,10835
899,7436,11835
1093,10691,11835
1375,14815,15835
1072,9310,13835
1810,17985,18335
1149,7711,11835
817,8171,10335
2236,22267,21835
1261,13858,16335
914,8839,10835
958,10464,14835
1212,8763,12335
2011,25147,18335
2248,27741,21335
925,11826,9835
1772,17651,17835
1443,12588,17335
825,7087,8335
1431,12495,16335
928,5797,11835
1938,22817,21335
663,5612,12335
1853,19966,15835
1470,14769,12835
1967,21200,19835
666,5317,10835
1690,21909,19335
1006,10460,13335
1040,10651,12335
764,9160,8335
1807,19717,19835
1054,8999,11335
681,5385,12835
1285,8077,14835
1687,19013,14835
966,10331,11335
1614,19556,17335
1144,8022,11835
1054,10322,11835
1664,14311,16835
880,10562,8835
733,7884,12835
1064,9497,14335
1316,15568,14835
701,8160,10835
1103,11607,12335
891,8790,11835
704,6436,11335
1207,7545,15335
624,3767,7335
651,4785,9335
712,4550,10335
2115,13109,21835
781,7439,10335
945,6344,11835
1492,16078,15835
728,4638,9335
1149,10334,10835
869,7912,8835
926,6620,11835
2861,27848,22335
869,6060,11335
966,10384,11335
1568,20320,17335
993,12204,12835
1722,17458,14335
1178,8654,14835
2140,25066,18835
822,7015,13335
661,5054,12835
1225,11074,13835
782,7597,12835
2051,20615,16835
1332,13823,14335
1487,16739,13835
864,10323,10835
835,8334,10335
774,7129,10835
1559,16559,13335
1014,7904,11835
710,7087,9335
723,6706,10835
1667,19959,15335
911,8254,11835
961,8070,10835
1189,12165,13335
1525,17069,17335
1837,25429,20835
1177,11024,12835
726,4472,12335
722,4912,9835
864,9048,10335
2005,22020,17335
1251,13740,13835
2497,28902,19835
603,2932,9335
772,5487,11835
816,8224,13335
1110,9378,14835
1494,13998,18335
1167,10106,12335
1318,9637,13335
713,8638,7835
924,7428,10335
1618,18812,15335
710,6509,11335
974,9593,9335
1613,15911,13835
1259,14193,13835
1676,16889,19835
1582,15791,18835
1773,15649,17835
1139,9492,14335
1940,11508,16835
1065,10556,11835
1120,11778,10335
1027,12572,10335
767,8190,7835
1113,13535,10835
620,4193,9835
1446,15053,15335
1410,13465,15835
1138,12237,13835
609,3184,9335
1559,12114,15335
880,6581,11335
1588,18625,16835
924,12031,9335
1581,13958,13335
1010,9910,13335
1759,14910,16835
1430,17848,16335
1162,13450,13835
689,6560,11335
772,5776,10335
1190,11582,13335
797,7297,8335
1251,11462,15835
1411,14565,14835
877,8183,12335
1799,19775,18335
1162,9419,10835
1681,11564,15835
1606,22985,18335
1625,20507,17835
1256,16441,12335
1266,12248,16335
777,5891,8835
770,6229,9335
999,5043,9835
863,7115,9835
1431,12339,17335
1434,16487,13835
1390,14179,17335
1885,20007,19335
890,6047,10835
886,9196,9335
1170,13019,13335
980,5677,10835
994,8756,9835
917,11509,9335
730,7843,10835
1038,10237,11835
642,7744,8835
637,5375,7835
2911,33506,24335
1014,6334,10335
1234,8181,12835
1084,11032,12335
1546,19335,17335
839,7123,13335
971,12817,11835
2021,20958,17335
1121,13295,10835
1557,18088,13835
753,8160,7835
971,11025,9335
1447,14871,16335
1500,15516,13335
1056,13311,14835
1343,13177,14335
1138,13544,15835
2277,21652,18335
1590,13980,18835
831,8470,8335
1139,16997,14335
1482,16745,16335
1345,11601,14335
644,3043,7335
1561,15405,18835
1341,13232,14835
1084,4396,13835
648,5816,9835
2115,11083,21835
972,9943,9335
1444,18207,16335
1182,7951,13835
774,4812,9835
1049,8316,12835
702,5199,7335
856,6530,9335
2200,24751,22335
1688,15576,14335
1401,15106,12835
1700,16406,17335
1432,12993,17335
1468,16026,16335
997,11081,12835
1408,13534,14835
903,10065,9335
785,5044,10335
2671,21912,24335
630,4176,8835
2323,19817,18835
2037,11516,17335
903,7923,13335
1325,14782,17335
2009,22098,16835
1566,15044,18835
2051,22499,17835
1272,12595,14835
1103,8636,15335
1200,14696,11335
809,7837,9835
1619,17290,13835
1227,7469,11835
1100,10380,11835
1447,13827,14835
1791,22269,19335
603,4779,7835
1017,8913,10835
849,6024,9335
645,4388,8835
905,6268,13335
724,1583,9335
1653,12533,13835
1544,16182,18835
748,5135,11335
1012,12258,10335
1650,18511,17335
1032,12364,10335
761,5425,8835
1309,11485,13835
1407,12654,14835
1264,11990,13835
748,8451,8335
2484,26535,24335
778,7524,9835
693,8573,9335
1059,8921,11835
976,8822,11335
2273,22983,19335
728,9411,9835
657,5794,8335
926,6404,9835
831,7761,12835
1816,19538,15335
1061,12123,12335
1749,16790,14835
944,10777,11835
1850,20356,19335
1156,7984,13335
2008,17617,17835
1274,14048,13835
1396,16671,12835
1533,16462,16335
1362,13724,14835
1120,13298,15835
899,7896,13835
2600,30684,21835
1545,12641,15335
955,8993,9835
1631,15044,19335
2521,28517,20835
1135,11975,12835
1281,16140,12335
760,5896,13335
1870,19495,15835
1101,9387,13835
1235,10724,13335
1791,17565,17835
1487,13078,17335
1928,14695,17835
967,10079,9335
1973,20662,20335
2356,29182,21335
2304,16474,20835
745,7640,11335
1251,13641,13835
968,7491,12335
1227,11014,12835
1303,13198,11835
2345,23394,19335
1758,25455,17835
1603,14377,18835
1129,14369,10835
763,5270,8835
1445,12746,14335
1784,23215,16835
1155,12005,13335
1394,12574,14835
1561,16811,16335
1374,16919,15335
683,4575,9335
1013,11065,12835
989,7193,10335
1918,17588,19835
1837,23911,20835
1064,10483,10335
629,6227,6835
1722,18658,15335
1257,13130,13835
815,5028,9835
1540,12626,17835
608,3123,8335
918,8621,12835
1156,10459,14335
626,6365,9835
2751,34800,24335
2244,21854,22335
1329,13059,16835
1641,16133,13835
790,5761,10335
1460,15333,15835
694,5432,9835
754,6160,11835
1581,13492,13835
1362,12194,14835
1110,11725,12835
1449,17090,16835
1018,11283,9835
899,9456,12335
917,7100,10335
1486,10737,14335
828,6863,11835
2148,19102,20335
859,9468,9335
1104,7014,10835
1321,11567,14835
2225,19743,18335
1686,14827,16335
1404,16421,15335
1255,13369,15835
2542,29775,24335
660,4601,7335
1229,13884,11835
1298,14580,11835
1475,7502,14335
1634,16683,16835
1241,14204,16835
1407,13546,17335
2319,16443,20335
913,8708,8835
933,9085,10835
1155,10666,14835
1593,19729,17835
1551,11229,14835
1438,12350,15335
811,12825,11835
1438,15681,15835
850,5528,8335
1746,14803,16835
1638,21476,18335
1771,17022,17835
2377,26534,19835
1931,17280,15835
637,7658,8835
